Product Name,Price,Rating
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,099",4.1
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹699,4.1
hybite Remote Compatible with Samsung LCD/LED Smart 4K ...,₹217,3.6
"Mivi Duopods D4, 50Hrs Playtime, HD Call, Fast Charging...",₹599,3.9
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹799,4
"realme Buds T200 Lite with 12.4mm Driver, 48hrs Playbac...","₹1,299",4
"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,3.7
"JBL Flip Essential 2, Deep Bass, 10Hrs Playtime, IPX7 W...","₹4,299",4.4
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹799,4.1
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹799,4.1
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,3.9
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,4
Mi 4A LCD LED Smart TV Remote Control Compatible for Sm...,₹176,4
"Mivi Play 12HRS Playback, Bass Boosted,TWS Feature, IPX...",₹699,4.2
Aroma NB121 Almaty Upto 40H Playtime* Fast Charging Wit...,₹299,3.8
"Boult Mustang Q 70Hrs Battery, ENC Mic, 40mm Bass Boost...","₹2,499",4.2
"boAt Airdopes 131 Pro Buds w/ In Ear Detection, 4 Mics ...",₹999,4
"Mivi ROAM2 24HRS Playback, Bass Boosted,TWS Feature, IP...",₹799,4.3
"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",₹449,3.9
"ZEBRONICS Zeb-Sound Bomb 7, TWS, 60h Backup, BT v5.2, E...",₹699,3.9
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹799,4
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.3
Aroma NB126 Amplifier 40 Hours* Playtime | Perfect for ...,₹399,3.6
"boAt Rockerz 210 ANC w/ 30dB Active Noise Cancellation,...","₹1,299",4
Aroma NB140 Matrix Upto 40Hr Playtime* Fast Charging Du...,₹399,3.8
"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹479,4
"boAt Bassheads 100 C w/ Type-c Jack, boAt Signature Sou...",₹549,4.3
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",₹999,4.1
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...",₹999,4.1
Dish TV Genuine Universal dish tv Remote Controller,₹172,4
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹878,4.1
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,199",4.1
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.2
"beatXP Vibe XPods with 60H Playtime, Quad Mic ENC, Gami...",₹429,3.8
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,3.6
"Boult W20 with Zen ENC Mic, 40H Battery Life, Low Laten...",₹899,4.1
